Tipo	Departamento	Titulo	Objetivo	Dominant_Topic	Dominant_Words
Administrativos	AREQUIPA	Venta directa de bienes inmuebles en la Municipalidad Distrital de José Luis Bustamante y Rivero	Establecer si la venta directa de los terrenos de propiedad de la Municipalidad Distrital de José Luis Bustamante y Rivero ubicados en la urbanización San Basilio, se ejecutó conforme la normativa aplicable. Periodo: 1 de agosto de 2010 al 31 de diciembre de 2014	9	0.056*"control" + 0.042*"informe" + 0.028*"posterior" + 0.028*"municipalidad" + 0.024*"hecho" + 0.023*"distrital" + 0.020*"servicio" + 0.017*"entidad" + 0.016*"especifico" + 0.015*"publico"
Administrativos	AREQUIPA	Ejecución, recepción y liquidación de la obra: Mejoramiento de la infraestructura peatonal de la Urb. San Martín de Socabaya Zona A, Zona B y Zona C, Socabaya- Arequipa- Arequipa IV etapa: Zona A	Mejoramiento de la infraestructura peatonal de la urbanización San Martín de Socabaya Zona A, Zona B y Zona C distrito de Socabaya - Arequipa - Arequipa IV Etapa: Zona A, se realizaron en observancia a la normativa aplicable, disposiciones internas y estipulaciones contractuales. Periodo: 1 de enero de 2018 al 16 de octubre de 2019.	12	0.050*"control" + 0.037*"informe" + 0.028*"obra" + 0.025*"hecho" + 0.024*"posterior" + 0.019*"entidad" + 0.017*"especifico" + 0.015*"funcionario" + 0.015*"residuos_solido" + 0.015*"distrito"
Administrativos	AREQUIPA	Ejecución de obra: Mejoramiento de los servicios de educación secundaria en la I.E. Mixto Corire, del distrito de Uraca - Corire, provincia de Castilla, departamento de Arequipa, región Arequipa	Determinar si la ejecución de la obra "Mejoramiento de los servicios de educación secundaria en la I.E. Mixto Corire, del distrito de Uraca - Corire, provincia de Castilla, departamento de Arequipa, región Arequipa"; se han realizado cumpliendo con las disposiciones establecidas en la normativa aplicable y estipulaciones contractuales. Periodo: 1 de junio de 2018 al 31 de diciembre de 2018	12	0.050*"control" + 0.037*"informe" + 0.028*"obra" + 0.025*"hecho" + 0.024*"posterior" + 0.019*"entidad" + 0.017*"especifico" + 0.015*"funcionario" + 0.015*"residuos_solido" + 0.015*"distrito"
Administrativos	AREQUIPA	Proceso de declaración de archivo de procesos administrativos sancionadores	Determinar si en el proceso de archivo de los procesos administrativos sancionadores, se cumplió con la normativa aplicable y las disposiciones internas vigentes.	9	0.056*"control" + 0.042*"informe" + 0.028*"posterior" + 0.028*"municipalidad" + 0.024*"hecho" + 0.023*"distrital" + 0.020*"servicio" + 0.017*"entidad" + 0.016*"especifico" + 0.015*"publico"
Administrativos	AREQUIPA	Aprobación y entrega de vales de consumo a personal sujeto al régimen CAS	Determinar si la aprobación y entrega de vales de consumo al personal sujeto al régimen especial de Contratación Administrativa de Servicios, se efectuó en cumplimiento de la normativa aplicable. Periodo: 1 de enero de 2016 al 31 de diciembre de 2018	9	0.056*"control" + 0.042*"informe" + 0.028*"posterior" + 0.028*"municipalidad" + 0.024*"hecho" + 0.023*"distrital" + 0.020*"servicio" + 0.017*"entidad" + 0.016*"especifico" + 0.015*"publico"
Administrativos	AREQUIPA	Contratación de Consultor: Tasación de los lotes de PEU 016, 017 y 020 de la Municipalidad Distrital de Majes - Caylloma - Arequipa	Determinar la legalidad de la tasación de los lotes de los PEUs 016, 017 y 020 de la Municipalidad Distrital de Majes - Caylloma - Arequipa. Periodo: 1 de enero de 2017 al 31 de diciembre de 2018.	9	0.056*"control" + 0.042*"informe" + 0.028*"posterior" + 0.028*"municipalidad" + 0.024*"hecho" + 0.023*"distrital" + 0.020*"servicio" + 0.017*"entidad" + 0.016*"especifico" + 0.015*"publico"
Administrativos	AREQUIPA	Obra Pública por contrata mejoramiento de la Transitabilidad vehicular y peatonal de las calles locales del pueblo joven La Mansión I distrito de socabaya - Arequipa - Arequipa	Establecer si el proceso de contratación y la ejecución de la obra pública por contrata, se realizó de acuerdo a la normativa aplicable, disposiciones internas y estipulaciones contractuales establecidas.	28	0.039*"informe" + 0.023*"funcionario" + 0.023*"control" + 0.022*"disponer" + 0.020*"entidad" + 0.015*"municipalidad" + 0.014*"posterior" + 0.013*"adm" + 0.013*"servicio" + 0.013*"distrital"
Administrativos	AREQUIPA	Proceso de contratación y ejecución contractual de la obra mejoramiento y ampliación de la Av. 1 y la Av. de Articulación del Centro Poblado Pedregal Sur, distrito de Majes, provincia de Caylloma- Arequipa	Establecer si el proceso de contratación, ejecución contractual y conformidad de la prestación, se realizaron de acuerdo a lo dispuesto en la normativa aplicable y estipulaciones establecidas.	28	0.039*"informe" + 0.023*"funcionario" + 0.023*"control" + 0.022*"disponer" + 0.020*"entidad" + 0.015*"municipalidad" + 0.014*"posterior" + 0.013*"adm" + 0.013*"servicio" + 0.013*"distrital"
Administrativos	AREQUIPA	Ejecución de la obra: Mejoramiento de la infraestructura vial en el sector este del Centro Poblado Pucchún, distrito de Mariscal Cáceres, provincia de Camaná, Arequipa II Etapa	Mejoramiento de la infraestructura vial en el sector este del Centro Poblado Pucchún, distrito de Mariscal Cáceres, provincia de Camaná, Arequipa II Etapa, fue ejecutada conforme a la normativa vigente. Periodo: 2 de setiembre de 2019 al 13 de marzo de 2020	9	0.056*"control" + 0.042*"informe" + 0.028*"posterior" + 0.028*"municipalidad" + 0.024*"hecho" + 0.023*"distrital" + 0.020*"servicio" + 0.017*"entidad" + 0.016*"especifico" + 0.015*"publico"
Administrativos	AREQUIPA	Fondos bajo la modalidad de encargos internos de la Municipalidad Distrital de Majes, provincia de Caylloma- Arequipa	Determinar si el procedimiento de asignación de recursos bajo la modalidad de encargos internos, se realizaron de acuerdo a la normativa aplicable.	28	0.039*"informe" + 0.023*"funcionario" + 0.023*"control" + 0.022*"disponer" + 0.020*"entidad" + 0.015*"municipalidad" + 0.014*"posterior" + 0.013*"adm" + 0.013*"servicio" + 0.013*"distrital"
